254,55,21,11
254,55,22,10
254,54,22,12
254,56,22,9
253,55,22,10
253,55,22,11
254,56,21,10
254,56,22,10
254,56,21,11
256,55,22,11
257,55,21,12
258,55,21,12
258,54,22,13
259,55,21,12
259,55,22,11
259,55,22,12
258,54,22,12
258,54,22,11
259,54,21,10
259,56,22,10
259,55,23,11
260,55,21,10
260,55,23,10
260,56,23,10
260,55,23,10
259,55,22,9
260,55,21,10
260,57,22,10
260,56,22,10
261,55,22,10
263,56,22,9
265,57,22,9
265,57,21,9
265,55,22,10
265,56,22,9
265,56,23,10
265,56,22,9
266,56,22,9
265,56,23,10
267,55,22,10
267,55,22,10
269,55,21,9
271,57,22,9
271,57,22,9
270,57,22,9
273,56,22,11
274,57,22,9
274,56,21,10
274,57,22,9
276,58,21,10
277,58,20,9
280,58,21,9
281,59,20,8
283,59,20,8
283,59,21,9
285,59,20,9
285,59,20,9
289,59,20,10
291,59,18,8
292,59,20,8
295,59,17,8
297,59,18,8
297,60,19,8
301,60,18,7
302,59,17,9
304,59,17,8
304,58,19,10
305,59,18,8
304,59,19,9
306,59,18,9
307,58,18,9
309,58,17,9
309,58,18,9
310,58,18,9
310,57,18,10
308,58,19,8
306,59,19,9
307,59,16,8
306,57,17,8
306,56,17,8
305,56,19,8
305,59,19,8
306,56,18,8
306,56,18,9
307,57,18,9
308,57,18,9
308,57,18,9
311,57,17,8
312,57,17,8
312,56,17,8
311,57,17,7
311,59,18,9
312,59,16,8
311,57,16,8
311,58,16,8
311,59,17,8
311,59,18,8
312,59,17,9
312,58,17,9
313,59,16,10
314,59,16,8
314,57,16,9
314,59,16,8
315,60,16,8
315,60,16,8
315,58,17,7
315,57,16,9
315,56,17,10
315,57,16,10
316,58,16,10
316,57,16,11
317,56,16,10
317,55,17,10
318,54,17,12
319,56,17,10
320,56,17,10
319,56,18,10
320,56,17,10
320,56,17,10
320,56,18,11
320,57,17,10
320,56,17,11
319,57,18,10
319,57,18,11
320,57,17,11
321,58,16,11
321,57,17,11
321,56,17,12
321,57,17,10
321,57,17,10
321,57,17,10
321,59,17,8
321,58,16,9
321,58,18,10
320,59,18,9
320,57,18,11
320,58,18,9
320,59,17,9
320,60,17,9
320,60,17,10
320,61,16,9
319,61,19,10
317,60,19,9
318,61,18,10
317,60,19,11
318,60,18,10
318,61,21,10
318,61,21,11
324,58,22,11
323,58,24,10
326,60,26,12
330,61,24,10
332,59,25,11
332,58,24,11
336,58,27,11
338,58,27,11
339,58,29,11
342,59,29,11
344,60,28,10
345,60,28,11
349,57,28,11
349,56,31,15
349,57,31,13
349,57,30,13
349,57,32,13
349,57,30,12
353,57,33,14
354,55,35,16
357,54,36,15
356,53,37,15
357,53,36,16
357,53,36,16
358,54,37,16
359,53,38,17
361,54,37,16
365,52,38,17
367,53,37,16
367,50,36,18
368,52,37,17
368,51,35,17
368,52,37,18
368,50,38,20
369,51,37,18
369,52,37,17
368,51,39,18
366,53,39,18
367,53,38,18
367,52,41,18
367,54,42,17
368,55,40,15
368,56,40,16
371,55,41,17
372,55,39,16
372,57,42,16
374,57,40,16
375,56,40,17
376,54,41,17
373,56,41,15
372,54,41,19
369,55,43,17
369,55,43,16
370,55,45,16
369,53,44,19
369,55,42,18
370,54,42,19
373,55,40,18
374,55,40,18
375,54,41,19
377,55,41,19
377,54,41,18
376,56,42,19
374,55,42,20
373,54,43,20
373,55,42,19
372,55,41,19
371,54,41,19
371,55,41,19
371,54,41,19
370,55,41,18
370,54,42,18
366,56,42,18
366,53,42,20
365,54,42,19
364,54,42,19
364,55,41,18
364,54,44,19
368,53,43,19
368,54,42,18
369,55,42,19
370,55,42,20
371,54,42,20
371,54,41,20
370,54,41,20
371,55,40,18
371,54,40,18
370,54,40,18
370,54,40,18
369,54,40,18
368,54,40,18
369,54,39,17
368,55,39,18
365,57,38,17
365,56,38,17
365,55,38,18
362,56,36,17
359,61,35,14
356,59,34,15
352,59,34,15
348,59,33,16
348,58,34,17
344,60,28,13
343,60,27,13
340,62,26,13
334,63,26,13
334,63,25,12
323,62,25,13
315,65,26,12
311,62,28,13
306,61,29,14
296,60,33,13
295,60,34,13
275,62,35,13
267,63,35,13
261,62,35,13
254,61,39,14
252,59,35,16
252,59,35,15
238,58,37,17
231,57,39,19
227,61,39,17
228,61,35,17
225,59,35,19
226,59,34,18
226,59,36,19
229,58,37,17
229,58,36,17
232,59,36,17
233,58,36,17
232,58,36,17
236,58,36,16
236,57,38,18
236,57,38,17
236,56,36,16
235,56,38,17
236,55,37,18
235,55,38,18
236,55,37,17
236,55,37,17
236,53,37,19
237,55,38,17
237,55,37,17
237,55,38,17
236,52,38,20
236,54,38,18
236,53,37,18
236,54,38,18
236,54,37,18
237,55,39,17
236,49,40,23
236,55,39,17
236,55,39,17
236,56,38,18
237,55,37,17
236,55,39,18
236,55,38,18
237,54,39,18
238,55,39,18
